rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4.875,My 2nd FX and Lovin it !,GLR ,09/09/2010,,,5,5,5,5,,5,5,4,5,"If you want a sports car with a backpack this is it! This is our 2nd FX, (Prem/Tech/Nav/RearEnt.). Our first FX was an 06 which my wife and I really enjoyed driving. I did notice the quirks of the new 7-speed but were resolved with the software updates. Having XM/cooling seats/dvd/nav/mp3/rain sensing wipers makes the FX a great cruiser on long road trips, I dont know how we drove long distance without Adaptive Cruise and Lane Departure Prevention they work really well. We drove 900 miles(hwy) with cruise control set @ 75mph & averaged 24 mpg. The technology, maintenance & reliability are simply amazing and are a bargain when compared to its European counterparts. Fun to drive, buy one!  ","Fun, unique design, cooling seats, center console design, 360 camera, voice control, Paddle shifters, Adaptive Cruise, Lane departure, Internal HD, XM live traffic, Brake Assist once saved me from rear-ending a car when they had stopped suddenly after cutting in front of me. Reliability & VQ Engine.",GPS works very well but POI DB search needs refinement. Redesign car to add more interior trunk space & storage nooks. Bose needs an EQ. Add larger sunroof. Make standard Blind Spot warning and Plasma Air Purifier. At this price point Damping control should be included with Tech/Touring packages.  
,,,,,,,,,,,,,,,,,
4.375,Great for the right person,renelms ,06/23/2010,,,5,5,4,5,,4,4,4,4,"Very nice vehicle that you will probably love or hate.  I have really enjoyed it but my wife doesn't want in it.  Throttle and brake responses are a little touchy, the ride can be bad on bad roads but is normally very compliant.  Drivers position, height and controls are very comfortable and well placed.  Cabin is snug for a SUV but near perfect for the Sport SUV it was designed to be.  Not overly impressive in any road comparisons to a car, yet if feels very sporty in every way and is very enjoyable to drive if you need a SUV but want a sports car.  Fast or slow I average 20 mpg and have had no problems other than a dealership that seems to think they are the only ones in town.  Cool Ride!",Drivers position and controls are near perfect to me.  Feels sporty just sitting in it.,Road noise can be bad on aggregate roads.  Nav system would be better if it could split screen with stereo.  Needs an electric lift rear hatch and rain sensing wipers if they want to compete in the upscale market. 
,,,,,,,,,,,,,,,,,
3.875,Review after 3 months of driving it...,firstandlastInfiniti ,02/04/2010,,,4,4,4,4,,4,4,3,4,"I have driven the car for 3 months and 3000 miles. I agree with ""Rick"" - 7 speed tranny ruins the overall experience of owning this car.  Shifts all over the place (I have the latest transmission flash) and still show very harsh downshifting after releasing the gas pedal (this initially scared the daylights out of me when it first happened, now I just come to expect it).  Only ""DS"" (Drive Sport) mode returns control to the driver and allows you to get around horrible gear ratios and indecisiveness of the computer as to what gear the car needs.  Also, brakes are VERY soft - takes longer to stop and gas mileage is mediocre.  No tranny change 2010 so if you consider buying you're warned.","Exterior and interior design are simply gorgeous.  Awesome integration of bluetooth and iPod connectivity with the radio/navigation system.  AWD handles great in wet and snowy weather (I have the standard 18"" wheels) and climate control works great.",Top priority needs to be on fixing the 7-speed tranny gear rations and shifting issues!  Power liftgate would be nice. Better fuel economy is also needed.
,,,,,,,,,,,,,,,,,
4.75,Look forward to driving!,Steve ,01/31/2010,,,5,4,5,5,,5,5,4,5," I came out of a Range Rover Sport Supercharged. The RRS was in the shop constantly. I purchased the FX35 for it's reliability and I wanted as much of the RRS handling and size as I could get. The FX didn't infatuate me, I just needed out of the RRS. I am now in love with this vehicle. Handling is not quite to the level of the RRS, but the ""fun to drive"" factor/cost goes to the FX35. The shifting issues are mostly resolved with premium fuel. My fuel economy of highway/city mix is a steady 19MPG! I feel this is good for any vehicle with this speed/performance/AWD. I look forward to my drive everyday! The FX35 is just easy to love. No dealer visits to date (7000 miles).","Seats, power, keyless push button start, AWD, ergonomics, fun factor/driving experience, fuel economy, handling, Nav.","Bose sound system needs help. Needs a better sub woofer, more control over sound and a little more power."
,,,,,,,,,,,,,,,,,
4.75,New FX35,JAH  ,01/27/2010,,,5,5,5,5,,5,5,3,5," Purchased the 2009 in January 2010.  Have put about 2,000 miles on it to date.  Car is unique looking, powerful, great handling (for an SUV/Crossover).  So far no issues/complaints.  My first SUV - and coming from a M-B E430 4Matic - I am very pleased.  My choices got down to Porshce Cayenne, Audi Q5 and Infiniti FX35.  The Infiniti won based on performance, comfort, great interior, and price.  Both Consumer Reports and J.D. Powers have commented favorably on reliability for Infinitis","Handling.  Overall interior design - especially for front occupants.  Exterior design/styling - including seats, materials, dash and center console - all are top of class and match or exceed Audi.  360 Camera View!  Redundant/alternative controls for just about everything.",Heated seats don't get hot enough.  Very few places to store odds and ends.  Need storage under floor in luggage area.  MPG is terrible! Should light buttons for Home Link.  Keyless on/off button should be disabled while in drive or reverse. Power lift gate is needed for rear hatch.
,,,,,,,,,,,,,,,,,
3.125,TERRIBLE TRANSMISSION,Rick ,12/27/2009,,,5,5,4,5,,1,3,1,1, The 7 speed transmission is a disaster.  I took it back but they said the software upgrade was done. It shifts up to 7th gear by 40 mph so if you come to a hill you have to take it down 2 speeds otherwise it struggles.  Constantly shifting and the tranny brakes the car when you take your foot off the gas.  IT RUINS THE WHOLE EXPERIENCE OF THE CAR...VERY DISAPPOINTING.  I'M READY TO GET RID OF IT ALREADY ...HAD IT 3 MONTHS.  I got the Premium and Deluxe wheel package...both worth it and very nice.  Seats are hard.  Bluetooth is nice.  Wood trim is beautiful.  Design is cool.  Have to take tourneau cover out to get groceries in.,Design.  Display for radio/cd/phone.  Bluetooth.  Horsepower.,Should have electric lift gate for the price.  Fix Transmission s/w or go back to 5 speed.  Miscellaneous noises in car (creaking).
,,,,,,,,,,,,,,,,,
5,Great car!,David ,12/23/2009,,,5,5,5,5,,5,5,5,5," Wonderful ride!  Extremely comfortable, and fun to drive.  Traded in BMW X5 with no regrets.  I love it's unique looks, and over the top features.  ","Birds eye camera view, updated styling, tight turning radios, ipod interface, upgraded leather in premium package, NAV, and good gas mileage for an SUV.",Automatic rear lift gate (I don't understand why the Nissan Morano has it and FX does not).  
,,,,,,,,,,,,,,,,,
3.75,Good not Great,its good ,12/01/3009,,,4,5,4,5,,3,2,3,4," My Wife and I have had the FX for just over a Year and for the most part it has been a Great car except for a few things. 1. It shifts way too slow when you need it. Really almost 2 sec pass, the rpm jumps and then it moves.  2. Air seems to find its way in to the Gas tank causing a lack of seal, sets off ""check engine"" light.  3. The heated seats start tricking up, they work, they don't, then they do again... go figure. ","the look and style, ipod connect, was the heated and cooled seats","change timing of transmission shifts, move heater mechanism from under seat to glove compartment along with the breathing filter, move a few things where they can be removed by owner"
,,,,,,,,,,,,,,,,,
2.625,Shame to Infiniti ,Infinityfan ,12/01/2009,,,4,4,4,1,,1,5,1,1,"This is my second Inf after '04 FX, which I really enjoyed. I got the new 2009 FX35. I have never been so unhappy with a vehicle's performance and fuel economy. My old one was showing about 13-14 mpg mostly city drive and new ""IMPROVED"" shows the same, driving experience horrible, unless I drive about 70-80mph. In slow traffic the shifting is all over the place sometimes it feels like someone bumps you behind. Also maybe because car is to heavy or because of transm issues, when my car starts driving it feels like it's choking on fuel. I took car already a few times to dealer who claims that he did some re-programming, but so far I do not see any changes and think it will be my last Infiniti.",,
,,,,,,,,,,,,,,,,,
5,Love it even more!,Trey ,11/11/2009,,,5,5,5,5,,5,5,5,5,"Favorite car I have ever owned.  Features galore, fun to drive, eye catching, and great build quality.  This is a ""sports"" SUV.  If you need a hauler you may want to keep looking.  If you want more sports than utility then this is it!","360 around view camera, heated and COOLED seats.","My tranny was shifting a little funny.  I took it in to Infiniti and they did a refresh on it.  It runs great now with no problems at all!  If you have a 2009 you should take it in!   Need fully auto rear lift gate, automatic rear seats (like EX35), work on blind spots, and why not FX37?"
,,,,,,,,,,,,,,,,,
5,Wonderful Vehicle,Dave ,10/31/2009,,,5,5,5,5,,5,5,5,5,"Let's start this out by saying I have massively enjoyed this car for almost a year now.  I traded in my 05 FX35 that I loved, and fell in love all over again.  What a fun to drive, eye catching, high tech, sporty vehicle with utility available.  Infiniti nailed this one.  I really enjoyed the last FX I had, but this improved on what was already a masterpiece!  The gas mileage is about the same (but this time I have the AWD), and the rear visibility is still pretty poor.  Other then that everything else has improved! ","Heated & COOLED seats, 7 spd transmission (once I stopped by Infiniti and had it repaired), new features of the NAV, new front grill, around view camera, and the interior feels much more expensive than before.   ","I miss the compass in the rear view mirror, and would like a fully automatic read lift gate.  I had issues with the tranny but Infiniti already had a fix for that.  They hooked some machine up and did a quick reprogram.  It runs great now!  "
,,,,,,,,,,,,,,,,,
5,Wonderful Car!,Infiniac! ,10/26/2009,,,5,5,5,5,,5,5,5,5,"This car is amazing!  From the gas mileage (for an SUV) to the tech options, this vehicle has it going on.  It's a pleasure to drive, and a great option for someone who wants a sports car with utility.","Around view camera, NAV, exterior and interior styling.  This car looks and drives like no other.","Full power rear lift gate, 3.7 V6 instead of 3.5."
,,,,,,,,,,,,,,,,,
4.875,WHAT A RIDE!!! 2009 FX 35 AWD,LA Bauer ,10/21/2009,,,5,5,5,5,,5,5,4,5,"I love this car. It has the speed when you need it, with the look and feel of a luxury sports car.  I traded in my Lexus RX 330 with no regrets.  The interior is lovely with many features.  I just wish that the rear offered better visibility.  You really need to be careful when making a lane change.   I rely a lot on my mirrors and must turn my head to look before I change lanes.  Wicked blind spot.  I also wish that they had a self closing rear hatch.  Otherwise, love this car and very  happy with the purchase.  I will let you know how the AWD does when snow flies.  I live in Alaska, so that should be soon!","Lush interior and sleek look on interior.  Love the climate control seats, sound system, warning systems.  Has power when you need it.  One hot ride. ",Wicked blind spot resulting in a lot of reliance on mirrors and check-check- double-check before lane change.   Surprised that the rear hatch doesn't open and close automatically.  It's heavy.  Gas mileage could improve--- but love the big tank.  
,,,,,,,,,,,,,,,,,
3.75,2009 FX a setback from my 2006,AinPleasantH ,10/19/2009,,,4,5,4,4,,3,4,3,3,"Bought a 2009 FX 3 weeks ago, trading in a 2006.  Upgraded to Nav with touchscreen.  So far, a lot of disappointments  1) It's slower! I punch it getting on the freeway, it hiccups.  The 2006 took off!  2) Adding Nav adds other functions, like touchscreen, traffic, but diminishes other features: a) Reduces bluetooth phonebook capacity by 75% b) eliminates ability to program pause (worked on 06) c) added, cumbersome steps to dial phone d)sound system audio quality diminished e) ipod interface nice, but ipod, battery runs down after car shutoff - auto-turn-on, not turnoff. 3) much less room in backseat-my riders complain 4) promised improved mileage is really worse -just a bigger gas tank.",Live XM traffic is nice.  The rear cargo organizer is very handy; seat coolers are nice addition to seat heaters.,"Bluetooth phone with nav should have all the features of bluetooth phone without nav.   2006 model had better personal storage areas - front seat console, on-door bins, etc.  Backwards programming of steering wheel nav/audio controls.  Up is back, down is forward? Preferred 06 volume toggle."
,,,,,,,,,,,,,,,,,
3.125,Even More Disappointment,Unhappy ,10/10/2009,,,4,5,4,1,,1,4,4,2,"Not only did the transmission not upshift smoothly, now I am getting the same problem as others on the downshift side. Engine revs to 5k as I am pulling in to a stop. Thank goodness my foot is already on the brake. Talk about dangerous. This has shades of the mid-80's Audi all over it. In addition to an intermittently functioning Nav screen, a non-charging iPod, and braking ""pulls"" to the left and right... quite honestly, you can have this machine. Unfortunately, it's on a 4 year corporate lease. Pooched.",The paint color.,"Go back to the drawing board... and for goodness sake ""torpedo"" this transmission."
,,,,,,,,,,,,,,,,,
5,It's worth every penny!,Raymond ,10/06/2009,,,5,5,5,5,,5,5,5,5,"I bought the FX 35 AWD w/Premium, NAV, Deluxe Touring, and a few other options.  Love the NAV and around view monitor.  Once you get used to it, it's a breeze. 20 inch tires and rims look great, as well as the real maple wood trim inside.  Upgraded leather has a very rich feel to it. I am not sure if my transmission was repaired from the dealership already, but no problems so far (3,500 miles).  ","Gas mileage compared to other SUV's, driving experience, around view camera, AWD, exterior styling, heated and cooled seats, solid build, and interior quality. ","Fully automatic rear lift gate, electronically controlled back seats, soften up the drivers seat a bit (hopefully it is just breaking in).  Even with those suggestions this car is amazing!!"
,,,,,,,,,,,,,,,,,
5,Wonderful Vehicle!,Julie ,09/29/2009,,,5,5,5,5,,5,5,5,5,"I am in sales and drive a lot.  I wanted a car that was fun to drive, looked great, and had some space to carry my equipment.  The FX fit the bill to a T.  The NAV works great (once I figured it out), around view cameras are wonderful, gas mileage is not bad for an SUV of this class, and it still works great for hauling the kids and groceries. I traded in a BMW X5 that I loved, but now don't miss at all anymore.  The FX gets much better mileage, and the interior styling blows away both the X5 as well as the X6.   ","NAV, quietness, exterior styling, climate controlled seats (yes, heated and cooled!), and around view camera.","Fully automatic rear lift gate, and rear seats.  The smaller EX has the automatic rear seats.  I don't understand why the more expensive FX does not."
,,,,,,,,,,,,,,,,,
4.875,Dedicated to Infiniti,Dedicated Infiniti ,09/28/2009,,,5,5,5,5,,5,5,4,5,"I took delivery in April, and this car has been nonstop fun ever since. I also have a 2007 G35, so I do love Infiniti.  I test drove an X5, Q7, RX, ML and nothing drove and handled as well for the value.  I bought every option package and got online (buy all my cars by way of carsdirect) for $9780 off sticker.  I was only not able to get the illuminated kick plates. I plan to see if my transmission needs to be reflashed for software, but it actually seems to be improving with mileage so maybe won't need to soon.","I love the Deluxe Touring package the most as compared to the regular tires and don't find the ride too harsh.  Tech Package with surround cameras--I would never have another vehicle without them. Stereo is great and love the IPOD interface system. Ventilated seats, but wish quieter.  Quilted leather.",Why not FX37!?  I would love the newer engine.  Needs a power liftgate option.
,,,,,,,,,,,,,,,,,
4.875,Awesome Vehicle,gogofx ,09/26/2009,,,5,5,5,5,,5,5,4,5,"Overall I love this car. I think its the perfect vehicle for sports car guys that need just a little bit of utility. Great get-up and go power, has all the amenities that I need right now. The only thing that is a bit annoying is the upshift with the transmission, there is a hesitation at times that is very noticeable. But, overall a wonderful vehicle. ","Great sound systems, and performance.",Recalibrate the transmission and add power hatch.
,,,,,,,,,,,,,,,,,
5,BEST in its class! (in my opinion),Aaron  ,09/18/2009,,,5,5,5,5,,5,5,5,5,"What an amazing car.  Between the climate controlled seats, key fob options, electronically controlled retractable mirrors, 360 degree view camera, Nav, reclining back seats, intelligent AWD, great ride, and unique looks, this car is the best! When doing the Edmunds comparison with its competitors the MDX, X5, X6, and RX the FX really shines.  Tightest turning radius (by far), offers most front leg room (by many inches), 2nd best in gas mileage, and is one of the least expensive. If you need an SUV for hauling ability this is not for you.  If you are looking for more of the ""sport"" from the sports utility vehicle category there is no other choice.","Exterior and interior styling, 360 camera view, AWD, gas mileage for its class, look of the 20 inch wheels, quality of interior features, NAV, and the ipod integration.  ",I would say the transmission but I took it in and they fixed it!  Fully electric rear gate is my only request.
,,,,,,,,,,,,,,,,,
4.875,Great car!,Eric ,09/17/2009,,,5,5,5,5,,5,5,4,5,Great driving.  I also had the transmission fixed and it runs great.  New features are wonderful.  Infiniti hit a home run with this one.,"Interior styling, around view camera, Nav, and many others.",None now!
,,,,,,,,,,,,,,,,,
5,I'm FXed!,FX Lover ,09/16/2009,,,5,5,5,5,,5,5,5,5,"Recently traded in my '04 FX35 for an '09 FX35 and have no regrets.  Comfort is all you feel when driving or riding in it. The '09 FX35 is significantly smoother and quieter than the '04. I actually enjoy driving now...doesn't feel (or sound) like an SUV but rather a luxury vehicle.  The controls are all within easy reach. The Technology Package is a must! As far as the gas consumption, it's not any better than my '04.  My opinion is that if you can afford to buy a new FX35, fuel prices/consumption should not be an issue. TIP: Drive it w/TLC! ",The comfort and handling feel of a luxury vehicle. ,Automatic close rear lift gate (it tends to be heavy when closing).    
,,,,,,,,,,,,,,,,,
4.875,Best SUV on the road!,Chuck ,09/15/2009,,,5,5,5,5,,5,5,4,5,"Enjoying my FX in every way.  Fun to drive, head turner, great options, and I don't miss my BMW X5 one bit.  The FX has it all!","I really enjoy the cooled seats the most (as silly as that sounds), but also the NAV, around view  camera, new 7 speed transmission, and the exterior as well as interior styling.",Auto tail gate.  
,,,,,,,,,,,,,,,,,
5,Wildly Fun!!,Bardoc ,09/14/2009,,,5,5,5,5,,5,5,5,5,"The only single word I can think of to describe this automobile is AMAZING!  It drives great (now the transmission is fixed), looks great, sounds great, and is priced great when compared to so called rivals. I test drove the Acura, Lexus, and BMW competing SUV's.  Although they all had some great highlights, overall the Infiniti blew them away.  It has the performance of the BMW's, all the features of the Acura, and much much better styling then the Lexus. ","NAV, around view camera, interior and exterior styling, comfort, heated & cooled seats, performance, gas mileage for an SUV, real maple trim, 20 inch tires, and it definitely has the X factor! ",The only problem I had was with the transmission.  I took it in and they were able to fix it.  Infiniti said some of the FX's had some type of programming issues with their trannies.  Now it runs great!! 
,,,,,,,,,,,,,,,,,
5,This is it!,FX Lover ,09/12/2009,,,5,5,5,5,,5,5,5,5,"Favorite car I have ever owned.  Considered and test drove many other high end cars, but wisely chose the FX. It's an eye catcher on the main roads, and a performing BEAST on the back roads!","Favs:  Around view camera, Nav, upgraded leather interior, gas mileage for an SUV, sitting position, rear leg room, reclining rear seats, so many don't know where to stop.","Yeah, that would be a BIG no!  Love this car!!"
,,,,,,,,,,,,,,,,,
5,WOOOOOOOOOW!!,Ruster ,09/11/2009,,,5,5,5,5,,5,5,5,5,"Everything works with precision!  Great riding, handling, sounding, and looking car.  Test drove many cars, and kept coming back to the FX.  Thanks Infiniti for nailing it!! ",Nav - Around View Camera - Reclining Back Seat - Sound of Exhaust - Heated & Cooled Seats - AWD - Need I continue??,Notta!!
,,,,,,,,,,,,,,,,,
4,Brutal 7 Speed Transmission,Unhappy ,09/09/2009,,,4,5,5,4,,3,4,3,4,This is my first Infiniti. While I enjoy the unique exterior style of the new SUV (as well as some of the gadgets) I must admit that the 7 speed transmission drive train leaves me speechless... in a bad way. The transmission wants to shift into high gear (7th?) at road speeds of 25mph. Even in DS mode it is not appreciably different. And if you have to climb any degree of incline at 25mph... wow... the vehicle labors vigorously. There is no downshift without pressing the accelerator halfway to the floorboard; at which point the RPM goes to 5k and the vehicle lungs forward. I hope they do some reprogramming of shift patterns.,Back-up cameras and highway performance.,Re-program shift patterns. I am told that the quick shifts were required by California vehicle standards. Note to Infiniti; people outside of California buy these things and expect better performance.
,,,,,,,,,,,,,,,,,
4.625,Transmission re-flash works wonders,chazas ,08/29/2009,,,5,5,5,5,,5,4,3,5,"We bought our FX35 last February.  I've been very happy with our purchase, my partner somewhat less so.  The car is great fun to drive.  The exterior takes a bit of getting used to, but the interior is class all the way.  There were two significant issues.  The first is rotten rear visibility - either you get used to relying heavily on the rear view and birds-eye cameras or you don't.  The second was the transmission.  It tended to search for the right gear, refuse to change quickly when floored, and just shift roughly.  But there is now an available transmission re-flash (reprograms the computer) - ask about ITB09-032.  It works wonders, completely solves the problem.  Thanks, Infiniti!","Beautiful and comfortable interior. Powerful engine, very nice audio system, good GPS.  Drives like a sporty car, not truck-like at all. ",Restyle for greater rear visibility and more interior storage.  Improve gas mileage and soften the ride a little.
,,,,,,,,,,,,,,,,,
4.875,Performs as Advertised,Romeb2k ,08/21/2009,,,5,5,5,5,,5,5,4,5,"Good mix between luxury & performance. Luxury on par with RX330 (prev auto) but performance is superior. Plus, you only see limited quantities on the road. Manual shift toggles are a blast! Gadgets galore. Fully loaded w/all 5 pkgs. Active/passive safety features were draw to FX. 7 sp trans works well despite complaints from other reviews. If I need additional power/response I use the toggles and shift manually. Interior space is adequate. I am 6-3 and I can fit comfortably in front seats/rear seats are a little cramped on legroom. The FX35 allows the best of both worlds, I can fulfill my performance desire as well as obtaining moderate functionality of SUV.             ","PROS: Exterior body styling/interior layout, 360 cam is awesome, leg room, instrument panel design, navigation, cooled seats, handles GREAT. Dual personality of FX35, modifies to spirited or normal driving. Looks of curiosity I get on road. Great freeway mileage. ","CONS: no full power trunk door, transmission is slow sometimes unless you floor it, poor gas mileage. Very fun to drive, and I love the big gas tank. "
,,,,,,,,,,,,,,,,,
4.875,Sports Car in the Body of an SUV,socal ,08/08/2009,,,5,5,5,5,,5,5,4,5,"Huge improvement over '08- refined interior, more power, better ride. Almost bought the Lexus RX350. FX a little more edge and a lot more performance. Gadgets galore. Highly recommend the bigger wheels to offset the longer hood. Exclusivity as factory not making as many. Highly reliable- not a single issue with my '08. If you are looking for a sports car with some utility this is your ride. ",Performance incl handling and acceleration. ,Drivers seat cushion could be a little wider. 
,,,,,,,,,,,,,,,,,
4.75,BMW to Infiniti...couldn't be happier,Anthony ,08/07/2009,,,5,5,5,5,,5,5,3,5,"PROS: nice body styling, 360 cam is awesome, leg room, instrument panel design, navigation, cooled seats, handles GREAT.  Great freeway mileage.  CONS: no full power trunk door, transmission is slow sometimes unless you floor it, poor gas mileage, wish the trunk organizer was to one side of the trunk instead of smack in the middle not allowing you to put any big items in without having to fold it down.  Very fun to drive, and I love the big gas tank.  ","360 cam, bird's eye navi, cooled seats, big gas tank 23.8 gallons","confused transmission, needs fully auto trunk, city gas mileage"
,,,,,,,,,,,,,,,,,
3.125,Just a poor designed car!,Jay ,07/25/2009,,,5,5,1,1,,3,4,3,3,"I bought a fully loaded FX35, but I am disappointed about the car. When driving in highway, the car sometimes hesitates to shift to a lower gear during acceleration and it chokes up! First time, I reported this problem to the dealer, they told me Infiniti is aware of the problem but doesnt have a fix for it yet, but later on, they took it back and said This is a Normal Behavior! They just had a recall on the replacement of Steering Column Electrical Tilt Motor. Also, only after 5000 miles, the dealer had to keep my car for 1 week to fix rear window. After one week, they gave the car back to me unfixed and told me that Infiniti doesnt have the spare part in inventory!!!",Interior and Exterior Design,"Poor, poor quality of a car."
,,,,,,,,,,,,,,,,,
5,Love it!,Mar ,07/24/2009,,,5,5,5,5,,5,5,5,5,"I traded a Mazda RX8 a few years ago for an Infiniti G35 couple. I thought I was getting more room while keeping the fun drive.  I just traded in my G35 for a new FX35 and I am in love! This car has incredible style, has great pickup and hugs the road far more than my G35 did.  Plus I get the extra room that I didn't have in either of my last two cars.  I still miss the sports car feel of the RX8, but this FX35 makes me smile every time I get in and push the start button.  Highly recommend it!","style, engine, air conditioned seats, darkened back windows, ability to hug the curves","I wish I got a little more MPG, but overall, I'm very happy!"
