rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
3.75,Transmission default,alex ,10/07/2009,,,5,5,5,1,,1,5,4,4,"Although a very good looking car and fun to drive at high speeds, this car transmission technology is still too new and Audi has not full control over it, I have a default transmission, and am not the only one, they have no right answers as how to fix it, they first exchange the mechatronics which has nothing to do with the jerking of the transmission in the lower gears, and after trying different things and not being able to repair the car their best solution is to replace the entire transmission in a vehicle that has less than 2800 miles. That to me as a customer is unacceptable.","outside looking, interior design","transmission, customer service"
4.875,Audi Q5 - Great SUV!,Phil in Dallas ,09/15/2009,,,5,5,5,5,,5,5,4,5,"My wife in on her second Audi (first an A4, now an A6). I'm the ""designated SUV driver"" in the family. I had a 5 year old Nissan Murano, which performed well and was a good value, but I've always been jealous of my wife's Audi(s). I looked at several mid-sized SUV's as a replacement, but none compared with the Q5. It drives like a sport sedan, with all of the comfort and convenience of a SUV. The size is perfect for getting around downtown and parking spaces, but it feels very large inside.    ","The fit and finish are first class and have a high end feel, as is generally the case with Audi.  The design of the interior can't be beat and overall, a very good use of space. Aggressive looking exterior. ",Agree with other reviewers regarding the large ash tray in the front console. This space would have been much better used as storage for a cell phone or other items. 
5,"Awesome, almost perfect, Audi",Elle ,08/29/2009,,,5,5,5,5,,5,5,5,5,"This car looks and handles great. It is fun to drive, has plenty of cargo space, and has a great sound system.  I came from a Mercedes with every bell and whistle imaginable and with this car, don't miss it.  I agree that the side mirrors are too big and take getting used to. I do also agree the the shifting of the gears when breaking can be a little jerky- I may just need to get used to it. ","Looks, drive, and size. ","Smaller side view mirrors. Automatic trunk closer on premium model. Larger center console space. Speedometer is set up strangely though, you can have the speed displayed digitally on the dash."
4.875,Best In Its Class,Bignewf ,08/28/2009,,,5,5,5,5,,5,5,4,5,"I traded in my 2004 VW Touareg V8 with 125,000 miles.  I love this new car.  It drives like a dream, a sports car feel with the high ride of an SUV.  The interior is simply elegant (I got the Cinnamon brown leather and deep blue exterior), premium plus with Navigation and 19inch wheels.  My closest choice was the Volvo XC60, which is also a great car, but the MMI system on the Audi is just, well, cool.  The volvo's nav feels very old school and clunky. My only criticism of this car is that when the back seats fold down, there is a gap across the cargo area that a dog's feet could get caught in.  Also, the MMI phone system is a dial rather than buttons and plugging in for voicemail is a pain.","Elegant interior finish, comfort, smooth ride and tight steering.  MMI system is awesome and voice control is pretty accurate and intuitive.",Fix fold down back seats to be flt and remove gap. Fix MMI phone system with touch screen.
5,Great Ride & Performance- GPS lacking,metsknicksfan ,08/27/2009,,,5,5,5,5,,5,5,5,5,"My 2009 Prestige Q5 rides like a sport sedan. Great acceleration (especially in sport mode), and responsive steering. I was really surprised on my first all highway trip (approx 75 miles), when I averaged 29.1 mpg! The ride is a bit bumpy on side street streets. Great access to rear storage due to low entry. Seats fold easily. Bang and Olefsun sound system is awesome. The GPS leaves a lot to be desired. The ""point of interest's"" do not let you choose ANY retail stores. Good luck trying to find nearest Home Depot, Staples, Target, or supermarket- NOT HAPPENING. The restaurant search is a basic listing- can't choose cuisine- Italian, Japanese, etc. My $200 Garmin GPS is far superior.","Sport mode shifter, B and O sound system, Keyless entry, handling, fuel efficiency, great visibility from drivers seat, back up camera, awesome panoramic roof, large side mirrors, Blue tooth, overall body styling, rear center fold down/pass through , hill descent control, voice activated  commands.","GPS- 40 gig storage (10 gig for music), but cannot search specific retail stores (only shopping centers), nor restaurants by cuisine. If you need to search only specific address's, it works well. The MMI system is a bit confusing, requires a 60 minute training session. Make user friendly please!"
5,Audi owner,audialways ,08/17/2009,,,5,5,5,5,,5,5,5,5,"This is my sixth Audi and the second SUV. Although I love the Q7, I didn't need one that big. I traded it in for the new Q5 and I have thoroughly enjoyed it.  Audis are very strong and safe cars to drive; they handle the roads so well; especially in these New England winters. There is a sense of security when driving them that I have not felt with other brands.",The quattro system.,A manual that's less wordy and more simple to understand.
4.875,So thrilled,newb2audi ,07/21/2009,,,5,5,5,5,,5,5,4,5,"Previous car was a Subaru 08 STI 5 dr hatch. Speed, agility, utilitarian use best describes our needs. STI proved to be too low for driving on VT pot hole roads. So what was out there that would be fun to drive, quick acceleration, a great solid ride, not too fancy in appearance and interior, yet functional? My friends on facebook submitted their suggestions, this is how I came across the q5! In traffic, great visibility, amazing control maneuvering slow pokes. Quiet. An overall sense of being in your own world with its secure solid build. Great turning into parking spaces. The vehicle drives and feels small. We bought the premium model, base with some options which kept the price down. ","Visibility, no blind spots. Massive sun roof. The room! I can fit my road bike in cargo area with seats down flat. Seats are comfortable. Looks, a classy, simple well thought out design inside and out.","Bluetooth, my premium model has buttons for it, icon on steering wheel, but no bluetooth, the only q5 that has ""Complete"" function is available on high end model. Some options should be standard given price of q5."
5,Great Crossover SUV,rb ,07/21/2009,,,5,5,5,5,,5,5,5,5,"I bought the Q5 after driving a Jeep Grand Cherokee for the last 5 years. I loved my jeep and hated to give it up but the build quality was poor and gas mileage was terrible.  I wanted a higher quality vehicle that still could function as a SUV but drove well and offered better gas mileage. The Q5 fits the bill. The Q5 has a high ground clearance and decent cargo room. It handles great and Ive been getting 25 MPG + at 75 MPH.  The cabin is quiet, the seats are comfortable and the visibility is very good. This car provides great car performance with the functionality (functions you use 99% of the time) of a SUV. This is one of the best reviewed luxury SUVs on the market and I can see why!",The sunroof is amazing - especially sitting in the back seat! The audio is amazing with the SD and IPOD connections. Great gas mileage for an all-wheel drive vehicle. ,"Get rid of the ashtrays and make the space more useful. Also, an auto dimming mirror with compass should be standard. Other than that, the car is amazing. "
5,"Absolutely the ""best crossover"" now!!",bi ,07/20/2009,,,5,5,5,5,,5,5,5,5,Test drove many SUV / crossovers in this segment including X3 and RX350.  Hands down Audi Q5 won.  I have owned it now for three (3) weeks -and- the car is simply perfection in all aspects from comfort to performance. ,Very fact - that this is the ONLY car review I ever wrote shows that there are too many favorite features to list. Overall - a joy to own!!,None.
3.875,MMI Navigation/Audio annoyance,Joe O ,07/19/2009,,,3,5,4,4,,4,4,4,3,Do not buy the MMI Navigation/Audio system unless you enjoy having it on every time you start the vehicle. You have two choices when starting your car. 1) The display comes on and the radio/media begins playing. OR 2) The display comes on with an Audi advertisement screen and the radio/media is off. Trying to blank the Audi advertisement screen causes the radio/media to come back on. You cannot start the car with the display and audio off. This is extremely annoying! I contacted Audi customer care. The representative verified this operation. I was told this operation is normal and they have no plans to fix it. There is no software/firmware update available to address this problem.,All wheel drive. Good ground clearance for snow.,"Provide a software or firmware update that allows the car be started with a blank MMI screen AND the radio/media system off. Move the headlight switch location. I am constantly hitting it with my knee when I get in the car. Provide an option with a ""normal"" size sun roof."
5,Excellent Luxury Crossover,patel1234 ,07/16/2009,,,5,5,5,5,,5,5,5,5,"Amazing ride, quality and craftsmanship.  Drove the X3 and XC60 and the q5 beats them hands down in all areas.  Audi has really done a good job in engineering this car.  My only complaint is that Audi should include more standard options on a premium plus.  Bang and Olufsen, in my opinion should be standard on a premium plus.  Heated seats are standard but currently there isn't an option for Cool/ventilated seats.  They get really hot in the summer.  For a 40+ thousand dollar car, one would expect more standard options.  If there was a option to score on Value, i would give it a 7 or 8 simply because you can find more options for the price in Cadillacs, Lexus, Acura.  ","Ride quality, MMI navigation, LED lights, interior.  Fuel Economy is 22 to 23 in combined city/highway driving.  ",Steering wheel is a bit tight at low speeds.  Bang and Olufsen should be standard on a premium plus.  Audi could've done a better job with the standard sound system.  No option for cooled/ventilated seats in front and heated in the rear.  
4.875,New Q5,Jeff M ,07/14/2009,,,5,5,5,5,,4,5,5,5,"Took delivery of new Q-5 with Premium/Prestige Packages and immediately set out on 1,200 mile trip.  Vehicle performed almost flawlessly.  The GPS stopped functioning necessitating the rebooting of the MMI.  Q-5 held the road well at speeds to 80mph. Gas mileage averaged a whopping 25mpg.  Interior is well appointed. Everything about the Q-5 is solid.  The B&O stereo is without equal. This is a great vehicle.","B&O Stereo, Bluetooth/phone connection and GPS screen.",Rear console (versus arm-rest) option and tire pressure monitoring system that provides pressure amounts in each tire.
4.875,"Sporty SUV, Lacking Interior Comfort",Nick  ,07/10/2009,,,5,5,5,5,,5,4,5,5,"I really love this car. I like the handling and the acceleration. There are a ton of features for the price. The only complaints I have are the gas mileage is kind of poor, and the leather seats are kind of hard and don't really hold you in them very well. The Navigation screen would also be better in a touch screen.","Panoramic Sunroof, performance, build quality, the cool looks, and the headlights (neat looking LED lights on the top).","Interior comfort, fuel economy, and touch screen navi."
4.875,Love this Car,GreatCar ,07/06/2009,,,5,5,5,5,,5,5,4,5,"This is my first Audi and my first cross-over vehicle and I am thoroughly impressed with this car.  Looked at a lot of different cars and nothing seemed to have everything I wanted until I drove the Audi.  Very good power for a V6, handles well and has a very smooth ride.  Great interior, good cargo space and the sunroof is fantastic.  I've owned 2 Acuras, a 325 and 525 BMW and a Mercedes (which I'll never buy again), and this car meets and/or exceeds those.  Better value for the $$ than the comparable X3 or X5 or Lexus or Mercedes.  Better features than the Acura RDX.  Really happy with the purchase and I highly recommend the Q5 for anyone looking in this class of cars.",,
5,Q5 3.2 v6,vp ,07/05/2009,,,5,5,5,5,,5,5,5,5,I just bought 2 days ago. Engine is smooth on acceleration. A family of 4 can comfortably seat. I am having a blast. I love it.,ipod interface and sd card slot for music.,None that I can think of at present time.
4.375,Bull in Sheep's Clothing,lumumba ,07/03/2009,,,5,4,5,5,,5,5,1,5,"With Audi drive select you can change its driving properties quite nicely.  With the ADS and the S Line tires and wheels (Michelin Latitude Sport). It will stick with the best of them. Comfort setting for potholes works well. Prestige package is worth it. Pricey, but a very nice ride!","Handling, styling, interior style and design, the advanced technology, utility permutations. Ability to leap small snowbanks with a single bound.",Better gas mileage. EPA says 18 city 23 country. I'm getting 12 mpg if that.
4.875,I NEVER write reviews,NewQ5 ,07/01/2009,,,5,5,5,5,,5,5,4,5,"Okay, this is my first review on a car. I have previously owned 3 Lexus, BMW, Acura, and Toyota's.  This is my first Audi, had test drove the A4 when buying Acura and was not impressed, so almost did not even look at the Q5. Glad I did, this IS THE BEST CAR I HAVE EVER OWNED. Upside, engine is great, street from my house is a hill and a turn against oncoming traffic, the car provides the extra torque in the rear wheel for complete control, ALL other cars has issue with this even BMW 535i also 2009.  Interior is extremely nice - I have nearly all the options so car price tag is $50k, which is appears overpriced at first, but when comparing quality interior and options is right on the money.","Engine, Drive, and the NAV which is a small screen and I thought I would hate, is THE BEST NAV I have seen (compared to Lexus, BMW, Acura and Toyota), love the heat/cool cup holder.","Cargo space in back is a bit lite compared to others, BUT driver and passenger areas feel roomier - have to give up space somewhere."
3.5,Handles poorly in Town/City traffic,voltrader66 ,06/21/2009,,,5,4,5,5,,2,3,2,2,"Car has a serious issue with the gearbox. In start/stop traffic, the gear is either too low or too high. Unable to shift correctly. Jerky harsh ride in town driving. Fuel economy is much poorer than the stated.",Styling.,Need to sort out the gear changes in the auto box. Maybe a software reprogramming will fix it.
5,Impresive Audi,bomy ,06/20/2009,,,5,5,5,5,,5,5,5,5,"The lease for my MB ML320 ended so I did some shopping around. I've tried Acura RDX and MDX and I had serious concern on passenger safety and lack of visibility. The same experience I had with Infiniti. MB GLK is really repulsive in design and BMW is still in the works to replace the outdated X3. Q5 was the best choice that I could have made. The design is outstanding, craftsmanship on the same level. Nice gadgets and the rooftop made my life so easy in convincing my wife: a 10 out of 10.","Side mirrors, transmission, roof, LED lights, interior and exterior design.",None so far.
4.875,I love this car!,Audisreallydorock ,06/10/2009,,,5,5,5,5,,5,5,4,5,"This car is such a big upgrade from our 2006 X3 (which we loved), I can only begin to describe it.  Comfortable, huge acceleration, great steering, excellent visibility.  Perfect car for our little family driving around the city.  Plenty of room for car seats, strollers, groceries, etc. and looks good enough to bring out for a night on the town.  Little nits: side mirrors are too big, auto-dimming rear view mirror dims too often, and brakes are a tad squishy for my taste.   But, I love driving this car.  Best car we've owned.  By far.  Including my BMW 328 (blasphemy!).   Compared the Volvo XC60, Mazda CX-9, BMW X5, Acura MDX, Lexus RX350:  this was a no brainer.  ","We love the MMI system, auto rear gate, LED headlights, and overall design.  ","MPG could be better (16-17 almost 100% city traffic), but not as bad as the old X3.  Better A/C - Audi just doesn't make a very good A/C unit."
4.875,Nice ride,WahooDDS ,06/07/2009,,,5,5,5,5,,5,5,4,5,"Excellent all-around luxury SUV.  Traded in our 2004 Volvo XC 90 (transmission problems). Looked at the Volvo XC60 and Lexus RX 350 among several others. After the dealer let us take the demo for a weekend we were sold.  The ride is far more superior and has many luxury features in a very attractive package, inside and out.  This car is just plain fun to drive and exudes quality. We are getting about 21 mpg overall (majority city driving).",Side assist works beautifully.  MMI navigation system is the best on the market and really separated this car from the XC 60.  Bang and Olufsen sound system is excellent. Panoramic sun roof is also fantastic. Like the temperature controlled cup holder and keyless entry/start.,"Side view mirrors are large and take some time getting used to (but they offer excellent vision).  Left arm rest a little low. Recommend a sloping (up, front to back) arm rest to accommodate a wider variety of people. The car manual should be more descriptive of features. "
5,Awesome!,Paul D ,06/03/2009,,,5,5,5,5,,5,5,5,5,"Owned 2 Mercedes and it was time for a change. We looked at everything in this segment. The choice was easy, the Q5 won the battle hands down. Only had the car a couple days and love it. Got the premium plus package in meteor gray pearl. This car is completely amazing. This SUV drives like a car and sticks to the road better than the CLK we just turned in. If you are looking for a small SUV look no further, you won't be disappointed.","Led lighting, interior refinement, not your average run of the mill looks, handling, power. The whole package.",None yet.
5,A clear break from the norm,PC323 ,05/29/2009,,,5,5,5,5,,5,5,5,5,"Premium Plus w/nav in Ibis White  I had never really considered an Audi until I drove the Q5. It clearly is a well-thought out vehicle and very much fun to drive. Regular Drive mode leaves a little to be desired in first and second but Sport mode (and Triptronic) is where the fun is...0-60 in FAST!  MMI is solid, cargo space may not be as large as some others but that was not a factor for me (don't have 22 kids and 3 dogs to shuttle around), gas mileage seems to be above listed, visibility is very good, steering responsive but not overly sensitive, braking is predictable, road noise is low even on 19s, and the most important factor is that it feels like a sedan and drives like one.","Exterior styling, interior fit and finish, LED DRL, panoramic sunroof, sport mode (quite responsive), Audi Care, power tailgate, doesn't look like an soccer-moms Lexus RX, feels like a sedan in every aspect.","Cost of Prestige package (11k), offer Side Assist for all packages (a very intelligent safety feature - almost a must have for all cars, especially larger vehicles), Advanced Key for all packages, TDI version (hopefully next year)."
4.875,Best car ever!,Keith  Daugherty  ,05/24/2009,,,5,5,5,5,,5,5,4,5,"I've had more fun driving this car than any car I have owned and I've had several sports cars.  Put the transmission in ""S"" and punch it and it throws you back in the seat.  We test drove the Volvo, Lexus, and MDX.  This car was far superior! It was the only one that said, ""Buy me""!  Everything about it  screams quality and luxury.  We have been averaging about 19 mpg. I'm sure it would be higher if I could keep my foot out of it!  It's just a super fun car to drive! We have the Prestige model--- definitely worth the upgrade!","MMI, handling, power,  Bang & Olufsen sound system, panoramic sun roof",Only thing I can think of is a second heated/cooled cup holder for my wife.
5,Wonderful!!!,Shell ,05/21/2009,,,5,5,5,5,,5,5,5,5,I LOVE my new Audi Q5. Traded in a LandRover which was a major expensive headache. I have made a great choice... what a head turner. I strongly recommend the Q5 it is wonderful all the way around! I am so pleased with my vehicle!!!!,,
4.875,Great Compact SUV,PL ,05/21/2009,,,4,5,5,5,,5,5,5,5,"Just bought a Q5 Premium Plus with Navigation.  Had to pay MSRP because the car is so popular right now - actually had to wait for almost 1 month to get the color I want.  But Audi is now offering 2.9%, 36 months financing and will make my 1st 2 payments, so net net it is like 0% financing + $500 discount.  The car is perfect for my wife.  The handling is great and the interior is far superior than the X3 or the GLK.  Love the LED lights and the huge side mirrors.  My only complaint is the relatively small interior space, especially when compared to RX350.  Otherwise, it was perfect.  ","Style, LED lights, MMI",Increase the interior space a bit.  
4.875,Your choice is clear.,lostemple ,05/19/2009,,,5,5,5,5,,5,5,4,5,"My brother needed a new vehicle for work. He asked me for help. We researched and test drove all the competition. The Q5 was the clear winner. My local dealership had a hail storm and he was able to get his Q5 repaired and looking new for $8000 off the selling price (not MSRP). At such a deal I bought one also. His is black with tan interior and mine is white with tan interior. We both got the premium plus, but he also got the MMI package. No need for bigger rims or S- line for us. In two weeks he put 1500 miles on his Q5 and could not be happier.","Panoramic sun roof, comfort, style and performance. I had a Isuzu Vehicross before and with the Q5 I still get the fun factor, but with refinement.",I would like to get the off road package and 3.0 TDI that is offered in Europe. Other than that no suggestions at this time.
5,Outstanding Car,walter baransky ,05/16/2009,,,5,5,5,5,,5,5,5,5,"Compared this car with other models and brands. Clearly ahead of the competition. Styling, interior room, sporty handling and more than enough power. Fuel economy as advertised. Loaded with technology. Was about to purchase an X5. After driving the Q5 and comparing space, feel and price, the Q won hands down. Great car!","Acceleration and feel when engaging the sport drive transmission. Turning ability, look and feel of the dashboard, 3D display graphics, one touch controls.",Tire pressure monitoring system should display actual tire pressures rather than simply provide a warning light. 
4.625,1 Fun SUV,Russ ,05/16/2009,,,5,5,5,4,,5,4,4,5,"We bought this car in April of 09 for my wife and I am ready to take it from her! The car is super fun to drive and especially so in the Sport mode. Has more get up and go than I ever expected. The transmission in the regular Drive mode can be a bit sluggish, but works fine. There is plenty of room in the car, I am 6 foot tall and the person behind me still has an adequate amount of room. Only had the car for a month now, but I am already a big Audi fan.","The MMI is great, 10gig of space on the hard drive for music and 2 SD slots. Great integration with my iPhone 3g, music and bluetooth. The bluetooth works great too, I can hardly tell when my wife is in the car. the sun roof is great too!","The transmission is a little jerky in Drive mode, but everything else they did right."
5,Thrilled with my Q5,Tara L ,05/12/2009,,,5,5,5,5,,5,5,5,5,"I've had the car two months and couldn't be more satisfied.  I was regretting handing in my BMX X3 (still love that car) but the Q5 is more luxurious, more comfortable, smoother, better gas mileage, and just as fun to drive.   I'm glad to see others here also getting MORE gas mileage than Audi disclosed. I am getting 23/28 vs. the Audi claim of 18/23.  The better mileage + the larger fuel tank = less stops at the pump & a happy driver.  The Q5 handles and drives like a state- of-the-art German sports car.  Thru traffic, Manhattan streets, suburban highways and local driving, it gives a consistent and fun-tastic drive.  And my passengers have no complaints either.  Thanks Audi!","panoramic sunroof, rear passenger reclining seats, ipod interface is wonderful, sporty/sturdy drive",Rear hatch is very heavy. A little more front console storage would help. 
5,Q5 is the only way to go!,lostemple ,05/11/2009,,,5,5,5,5,,5,5,5,5,My brother needed a new ride and after test driving all competitors bought an Audi Q5 premium plus w/navigation. I followed suit and bought a Q5 premium plus and could not be happier. I am a research junkie and hands down the Q5 beat out the competition. I look forward to many happy years of driving my Q5.,"Panoramic sun roof, quiet cabin, excellent fit and finish, powered tail gate, front and rear led lights, 4400 towing capacity and the audio system.",Bring the off road upgrade accessories to the US. Currently only offered in Europe.
4.375,Poor Gas Mileage,jscotyd ,05/11/2009,,,5,5,5,5,,5,5,1,4,Beware of the ugly gas mileage.  I can only get the 18 mpg in the city on the vehicle instant mpg calculator if I am going down hill with my foot off of the accelerator.  It's stupid.,,
4.875,Impressions of my new Q5,automaven ,05/09/2009,,,5,5,5,5,,4,5,5,5,"I purchased my new Q5 from Audi of Oxnard.  I did extensive research prior to the purchase.  I wanted all wheel drive for skiing plus a place where both my surfboard and lab dog could fit.  I wanted comfort, bluetooth, nav, and pretty much all  goodies.  The full size moon/ sun roof is a cool addition. I replaced my 06 Acura MDX where the lease just ended. The Audi is extremely comfortable, with fit and finish second to none.  Smaller than the mdx, but still o.k. and with better mileage.  I got 23.5 on first tank, city and highway.  The center stack which controls the radio and nav takes some getting used to.",Comfort; fit and finish; looks; moon roof; nav (with 2 screens) parking sensors. Nice wood. Great transmission.,Stack a little difficult to understand.  Needs locking gas cap or door.  More interior storage places.  Nice if Audi paid for service like BMW.
5,Beats 'em all,AudiMyMind ,05/09/2009,,,5,5,5,5,,5,5,5,5,"Test drove BMW, MB, Lexus, Acura and Infiniti. Audi is absolutely the BEST by far. The quality, craftsmanship, fit and finish is beyond compare. Got the Meteor Gray pearl, light gray interior &  Premium plus pkg. Have caused countless head turns on the road and while parked. Those LED daytime running lights really get everyone's attention. Precise handling; Superb ride.",Fit & finish; LED DRLs; MMI; Ipod interface,Improved bluetooth interface. List of cell providers & manufacturers could be better.
4.875,The perfect urban SUV,GLo ,05/04/2009,,,5,5,5,5,,5,5,4,5,"We've driven the Q5 (with Premium Plus) for a month and we absolutely love it.  It's small enough for urban driving/parking, but is roomier and built more intelligently than the X3 that it replaced.  Smooth, linear acceleration, balanced steering, and grips the road like a sports car.  Our favorite drives are over the twisty canyon roads.  MPG is around 17 so far (vs. avg. of 13 with the X3), which is better than expected considering almost 100% city driving.  My only complaints are that the brakes are a bit squishy and the side view mirrors are huge. This is great for side visibility, but limits front visibility a bit when making turns, for example.  I think we'll get used to it.","Handling, power, MMI, passenger space, cargo space (movable 2nd row seats are simply awesome), power liftgate, LED lights, Audi ergonomics.",Braking. Everything else is exactly what we'd hoped for.  
5,"""The best""",cesar ,05/02/2009,,,5,5,5,5,,5,5,5,5,"I have had 2 Mercedes (Ml320 and E320) and my Q5 is much better in everything, I traded in a 08 MDX that I bought because Honda and Acura reputation, but  I had to take the MDX 3 times to dealership to fix A/c and I recently discovered a noise on the transmission, so I decided - That's it!! and bought the Q5. I could not be happier with it.","Great pick up, stereo, inside finish, great design, smooth ride, great pick up etc., etc., etc.","Nothing, is perfect!!!!!!!!!!!"
5,Absolutely Perfect! ...no comparison! ,megn1806 ,04/26/2009,,,5,5,5,5,,5,5,5,5,"I just bought the q5 with the premium plus pkg, and it's FANTASTIC! The gas mileage is better than advertised. The LED lights are awesome! It handles just like a vehicle, but with the stamina of an SUV. I am 5""4 and this car doesn't feel 'too large'. The interior is classy, and goes above and beyond all of the competition. I have been looking for a year for an SUV (MB, BMW, Lexus), and nothing comes close to the genius Audi put together with the Q5. I leased this vehicle, but after driving it for 2 weeks, I am quite certain I'll end up purchasing it @ lease end. If you haven't driven the Q5, add it to the top of your list, this is one vehicle that is a must drive! ","LED lights, panoramic sunroof, Ipod display screen, self-closing trunk, beautiful interior!! ",None! This car is perfection! 
